Source,Target,Weight
zenius_oliv,studyize,1.0
zenius_oliv,smkfess,1.0
zenius_oliv,shourtcakee,1.0
zenius_oliv,sha59964370,1.0
zenambis,mgreenteaz,1.0
zenambis,iamsashyaa,1.0
zenambis,hhazelkim,1.0
zenambis,haechavr,1.0
yourcicillia,panggilajazul,1.0
youniversean,sbmptnfess,1.0
yoshiluvy,kentangnyaruto_,1.0
yoshi__yoo,convomf,1.0
yorobunzen,schfess,1.0
yoooambiss,schfess,1.0
yoonjeyi,2304days,1.0
yonkyoungk,ojodaboniven,1.0
yonkcheese,subschfess,1.0
yoenny141,sbmptnfess,1.0
yodamie,rjcollect,1.0
ynamsaeng,schfess,1.0
yesikapesetah,zenius_oliv,1.0
yesikaann,ambisfs,1.0
yerinnykim,doykimm_,1.0
yennovianti,birthdayboyjjen,1.0
yellingoutt,schfess,1.0
yellingoutt,anotheroficha,1.0
yeaaaaa1234,jgukdior,1.0
ydelfay,tresno_arto,1.0
yceagers,sbmptnfess,1.0
yayoungiee,annung1717,1.0
yasyas878,cuwprint,1.0
